tweet_id,name,rate_ratio,retweet_count,favorite_count,source,rating_numerator,rating_denominator,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,expanded_urls,jpg_url
892420643555336193,Phineas,1.3,6953,33630,Twitter for iPhone,13.0,10.0,1,Orange,0.0970486,False,Bagel,0.0858511,False,Banana,0.07611,False,https://twitter.com/dog_rates/status/892420643555336193/photo/1,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg
892177421306343426,Tilly,1.3,5257,29166,Twitter for iPhone,13.0,10.0,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True,https://twitter.com/dog_rates/status/892177421306343426/photo/1,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg
891815181378084864,Archie,1.2,3462,21944,Twitter for iPhone,12.0,10.0,1,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,https://twitter.com/dog_rates/status/891815181378084864/photo/1,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg
891689557279858688,Darla,1.3,7171,36711,Twitter for iPhone,13.0,10.0,1,Paper Towel,0.1702779999999999,False,Labrador Retriever,0.1680859999999999,True,Spatula,0.0408359,False,https://twitter.com/dog_rates/status/891689557279858688/photo/1,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg
891327558926688256,Franklin,1.2,7703,35106,Twitter for iPhone,12.0,10.0,2,Basset,0.555712,True,English Springer,0.2257699999999999,True,German Short-Haired Pointer,0.175219,True,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg
891087950875897856,,1.3,2578,17717,Twitter for iPhone,13.0,10.0,1,Chesapeake Bay Retriever,0.425595,True,Irish Terrier,0.116317,True,Indian Elephant,0.0769021999999999,False,https://twitter.com/dog_rates/status/891087950875897856/photo/1,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg
890971913173991426,Jax,1.3,1644,10310,Twitter for iPhone,13.0,10.0,1,Appenzeller,0.341703,True,Border Collie,0.199287,True,Ice Lolly,0.193548,False,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg
890729181411237888,,1.3,15655,56557,Twitter for iPhone,13.0,10.0,2,Pomeranian,0.566142,True,Eskimo Dog,0.1784059999999999,True,Pembroke,0.0765069,True,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg
890609185150312448,Zoey,1.3,3598,24374,Twitter for iPhone,13.0,10.0,1,Irish Terrier,0.4875739999999999,True,Irish Setter,0.193054,True,Chesapeake Bay Retriever,0.118184,True,https://twitter.com/dog_rates/status/890609185150312448/photo/1,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg
890240255349198849,Cassie,1.4,6051,27803,Twitter for iPhone,14.0,10.0,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,https://twitter.com/dog_rates/status/890240255349198849/photo/1,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg
890006608113172480,Koda,1.3,6101,26902,Twitter for iPhone,13.0,10.0,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg
889880896479866881,Bruno,1.3,4129,24433,Twitter for iPhone,13.0,10.0,1,French Bulldog,0.377417,True,Labrador Retriever,0.151317,True,Muzzle,0.0829811,False,https://twitter.com/dog_rates/status/889880896479866881/photo/1,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg
889665388333682689,,1.3,8285,41794,Twitter for iPhone,13.0,10.0,1,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True,https://twitter.com/dog_rates/status/889665388333682689/photo/1,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg
889638837579907072,Ted,1.2,3691,23529,Twitter for iPhone,12.0,10.0,1,French Bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire Bullterrier,0.00149818,True,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg
889531135344209921,Stuart,1.3,1872,13288,Twitter for iPhone,13.0,10.0,1,Golden Retriever,0.953442,True,Labrador Retriever,0.0138341,True,Redbone,0.00795775,True,https://twitter.com/dog_rates/status/889531135344209921/photo/1,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg
889278841981685760,Oliver,1.3,4409,21983,Twitter for iPhone,13.0,10.0,1,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True,https://twitter.com/dog_rates/status/889278841981685760/video/1,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg
